iter	RMSE
0	74570.75992
1	70172.64194
2	65663.36493
3	62052.36021
4	58578.83175
5	55512.28508
6	52487.68502
7	49946.73213
8	47628.73164
9	45577.34846
10	43743.25878
11	42136.919
12	40619.63811
13	39181.33387
14	37830.4484
15	36774.77958
16	35770.66273
17	34730.7438
18	33623.91455
19	32704.31805
20	31963.2473
21	31112.56306
22	30548.15353
23	29961.88799
24	29377.76725
25	28913.42549
26	28476.78112
27	27841.06721
28	27314.83002
29	26845.65587
30	26341.08645
31	25955.02136
32	25598.41898
33	25375.36195
34	25072.51316
35	24883.37997
36	24582.77916
37	24332.14531
38	23972.32241
39	23747.02849
40	23506.05044
41	23304.45715
42	23066.77086
43	22830.45077
44	22663.21561
45	22367.59885
46	22201.55895
47	21934.88008
48	21764.98369
49	21605.47638
50	21409.12748
51	21183.7846
52	21023.51212
53	20883.42369
54	20720.78836
55	20584.3945
56	20405.54994
57	20299.00955
58	20200.00274
59	20144.16882
60	20010.29004
61	19890.32726
62	19783.93308
63	19716.70223
64	19562.66674
65	19461.21499
66	19312.85782
67	19201.32472
68	19077.97944
69	18973.8535
70	18896.59973
71	18820.3941
72	18731.0936
73	18661.93659
74	18549.27449
75	18434.02727
76	18346.74292
77	18267.82321
78	18200.42834
79	18121.80968
80	18049.0596
81	18012.26928
82	17950.04471
83	17883.24947
84	17791.74118
85	17738.59532
86	17692.81672
87	17648.24469
88	17572.04381
89	17536.21189
90	17497.18627
91	17461.61152
92	17383.49635
93	17295.94757
94	17218.87025
95	17158.21273
96	17084.0805
97	17031.39026
98	16992.85947
99	16902.87204
100	16846.97527
101	16771.68779
102	16695.33087
103	16661.90181
104	16634.88352
105	16558.57209
106	16480.28314
107	16423.6341
108	16407.39945
109	16356.78736
110	16298.89452
111	16277.89946
112	16234.35552
113	16215.24276
114	16139.46773
115	16074.01178
116	16060.5739
117	16015.92638
118	15943.98357
119	15924.44146
120	15886.82145
121	15800.38548
122	15769.5156
123	15720.01558
124	15694.44163
125	15629.28035
126	15618.22129
127	15570.18381
128	15555.00766
129	15530.97488
130	15467.57728
131	15429.00591
132	15368.50781
133	15333.66111
134	15324.27027
135	15284.9353
136	15224.77056
137	15168.60897
138	15115.75949
139	15055.27646
140	15024.19391
141	14995.05186
142	14948.73264
143	14917.26052
144	14909.02861
145	14857.71332
146	14849.00975
147	14797.24673
148	14761.42935
149	14712.80118
150	14705.74914
151	14640.26474
152	14633.5709
153	14563.36581
154	14537.55378
155	14482.11733
156	14419.3075
157	14367.38469
158	14302.3056
159	14269.59643
160	14234.63543
161	14207.36038
162	14178.3698
163	14124.61118
164	14084.66764
165	14037.61772
166	13996.50718
167	13956.44162
168	13918.57835
169	13876.28893
170	13866.52988
171	13812.13005
172	13754.79886
173	13697.14507
174	13665.32662
175	13648.18396
176	13622.42074
177	13586.05213
178	13557.19464
179	13532.24807
180	13491.98423
181	13460.88243
182	13424.73617
183	13366.76773
184	13322.25638
185	13297.23325
186	13288.05088
187	13259.28209
188	13234.277
189	13223.92181
190	13186.18851
191	13138.06647
192	13126.88925
193	13102.32103
194	13092.18319
195	13052.98593
196	13042.29603
197	13032.79625
198	13025.57767
199	12996.67852
200	12976.44153
201	12960.8632
202	12941.55064
203	12932.99132
204	12921.8438
205	12865.73975
206	12853.48015
207	12841.11316
208	12798.41842
209	12785.23355
210	12748.8483
211	12723.82383
212	12700.43581
213	12665.1911
214	12635.04905
215	12583.78456
216	12553.57134
217	12522.61554
218	12490.89655
219	12479.02599
220	12446.77862
221	12423.38515
222	12408.54109
223	12361.68176
224	12313.23167
225	12274.91075
226	12238.46893
227	12195.45306
228	12156.7968
229	12152.28665
230	12130.8175
231	12116.77284
232	12082.46944
233	12050.94137
234	12016.1573
235	11989.75499
236	11969.334
237	11947.43824
238	11920.07219
239	11902.48496
240	11888.29989
241	11863.73748
242	11830.5528
243	11819.19886
244	11774.94765
245	11738.50974
246	11690.70649
247	11687.30175
248	11653.85816
249	11650.52634
250	11602.7014
251	11597.98138
252	11562.59545
253	11537.49145
254	11505.16311
255	11493.90139
256	11470.23011
257	11441.3076
258	11395.09831
259	11391.94084
260	11369.77226
261	11330.56308
262	11328.25637
263	11303.2961
264	11292.86747
265	11290.58859
266	11268.35247
267	11250.30731
268	11189.25463
269	11157.29894
270	11129.64734
271	11105.33445
272	11101.05315
273	11075.78472
274	11045.25846
275	10999.20455
276	10970.5861
277	10948.62015
278	10939.77103
279	10937.61339
280	10901.57462
281	10865.13766
282	10840.6072
283	10804.44648
284	10781.64375
285	10758.26431
286	10728.76065
287	10720.32382
288	10697.34577
289	10684.34496
290	10670.58368
291	10654.25154
292	10629.6761
293	10595.5377
294	10574.46077
295	10563.27146
296	10531.86756
297	10497.31427
298	10446.81225
299	10444.50568
300	10424.22874
301	10396.56868
302	10368.16407
303	10346.64361
304	10336.06194
305	10328.55258
306	10297.57705
